;Id;N_victimas;A�o;Mes;Dia;Hora;Calle;Altura;Cruce;Direcci�n;Comuna;Latitud;Longitud;Victima;Acusado
238;2017-0116;1.0;2017.0;9.0;20.0;22.0;PAZ, GRAL. AV.;5750.0;SD;PAZ, GRAL. AV. 5750;12.0;-58.51389422;-34.58075791;MOTO;OBJETO FIJO
239;2017-0118;1.0;2017.0;9.0;22.0;7.0;VIEYTES;;CRUZ, OSVALDO AV.;VIEYTES y CRUZ, OSVALDO AV.;4.0;-58.37585415;-34.65232158;MOTO;AUTO
240;2017-0120;1.0;2017.0;10.0;2.0;15.0;AUTOPISTA DELLEPIANE LUIS TTE. GRAL.;;ESCALADA AV.;AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y ESCALADA AV.;9.0;-58.47297505;-34.66245085;MOTO;CARGAS
241;2017-0123;1.0;2017.0;10.0;10.0;1.0;ALBARI?O;;ARGENTINA AV.;ALBARIÑO y ARGENTINA AV.;8.0;-58.46855503;-34.67216349;PEATON;AUTO
242;2017-0124;1.0;2017.0;10.0;12.0;14.0;RAMIREZ DE VELASCO, JUAN;1211.0;SD;RAMIREZ DE VELASCO, JUAN 1211;15.0;-58.44254033;-34.59185043;MOTO;PASAJEROS
243;2017-0125;1.0;2017.0;10.0;13.0;6.0;FERNANDEZ DE LA CRUZ, F., GRAL. AV.;;LARRAYA;FERNANDEZ DE LA CRUZ, F., GRAL. AV. y LARRAYA;8.0;-58.46622247;-34.67926929;MOTO;OBJETO FIJO
244;2017-0126;2.0;2017.0;10.0;14.0;6.0;RIESTRA AV.;;CA?ADA DE GOMEZ;RIESTRA AV. y CAÑADA DE GOMEZ;8.0;-58.48003734;-34.68148508;AUTO;OBJETO FIJO
245;2017-0127;1.0;2017.0;10.0;16.0;7.0;GALLO;;CORDOBA AV.;GALLO y CORDOBA AV.;2.0;-58.41192137;-34.59800248;MOTO;MOTO
246;2017-0128;1.0;2017.0;10.0;17.0;12.0;ARANGUREN, JUAN F., DR.;611.0;SD;ARANGUREN, JUAN F., DR. 611;6.0;-58.44034689;-34.61349731;PEATON;PASAJEROS
247;2017-0129;1.0;2017.0;10.0;26.0;19.0;AUTOPISTA PERITO MORENO;;AUTOPISTA 25 DE MAYO;AUTOPISTA PERITO MORENO y AUTOPISTA 25 DE MAYO;9.0;-58.47155277;-34.64925746;MOTO;PASAJEROS
